SL,School Name,District,Board,Sector,Project,Link
1,B.B. Institution,North,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1rwWD0jpdPq8bnR5oxf4Z_6QIMKTEdUKU_LrLga7OiX8/edit?usp=drivesdk
2,B.B. Institution,North,CBSE,Retail,VE 24 Schools,https://docs.google.com/spreadsheets/d/17MpW0nxGqjj5cfpt4LFGrDqmqM7wuDN-QFSAbfjn5FQ/edit?usp=drivesdk
3,PMSHRI Kalacherra HS School,North,TBSE,IT-ITeS,VE 24 Schools,https://docs.google.com/spreadsheets/d/1VciuTDP9_fSkgDJQHbwPcTysgjqtE6MofWq8mRygVqc/edit?usp=drivesdk
4,PMSHRI Kalacherra HS School,North,TBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1Xx2VBfRGKIxgTgIVno2Q1qlyNi5oQcl4rjZ6VtsuMJM/edit?usp=drivesdk
5,Kanchanpur HS School,North,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1duEItUCZa8H3qz65P6nqho9b8xTUkkDM6QolAI5_JRo/edit?usp=drivesdk
6,Kanchanpur HS School,North,CBSE,Retail,VE 24 Schools,https://docs.google.com/spreadsheets/d/1wdKQJfEsHf5ltehanDn2dXiHr2yeAZKAdz0oFKBS6QI/edit?usp=drivesdk
7,Tilabazar HS School,Unakoti,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1ziSMTTQ8lB8XCwFcBsIG5nP4DGEK2agQuEaUH645MEo/edit?usp=drivesdk
8,Ledrai Dewan Class-XII School,Unakoti,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1IHJd839eumnbPgLZk3aaAEbOiT5M7b02Q-HhV2Vupxs/edit?usp=drivesdk
9,Dhana Singh Chowdhury Memorial Eng Med HS School,Unakoti,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1ayUs3gROZgRhYG4wzePHYkBQmwlJeD_m9ZV3m7gVylA/edit?usp=drivesdk
10,Bamanchara English Medium HS School,Dhalai,CBSE,Information Technology,VE 24 Schools,https://docs.google.com/spreadsheets/d/1qpX1wA7HnU72A9K8wiZ4n2J9SJI5OhRVwD792eqK0v8/edit?usp=drivesdk
11,Bamanchara English Medium HS School,Dhalai,CBSE,Agriculture,VE 24 Schools,https://docs.google.com/spreadsheets/d/1r0P75hwn_pWAoUVesy2bUWbrOxlztlkNKA_pr0KJ9_A/edit?usp=drivesdk
12,Dalubari Gate Class XII School,Dhalai,TBSE,Electronics,VE 24 Schools,https://docs.google.com/spreadsheets/d/1G3ezRLYtX9KQVJF0Rz9HU4F_knTdmQtSHC8MiSuijmc/edit?usp=drivesdk
13,Tulashikhar Rajnagar HS School,Khowai,CBSE,Electronics & Hardware,VE 24 Schools,https://docs.google.com/spreadsheets/d/1HMvajwGzS_67Zd45fAmEyXXrIgCabdKQYDhwyPtyg3c/edit?usp=drivesdk
